status	key	command
Composition	Backspace	Backspace
Conversion	Backspace	Cancel
Precomposition	Backspace	Revert
Composition	Ctrl Left	MoveCursorToBeginning
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl Right	SegmentFocusLast
Conversion	Ctrl Shift Left	SegmentWidthShrink
Conversion	Ctrl Shift Right	SegmentWidthExpand
Composition	Delete	Delete
Conversion	Down	CommitOnlyFirstSegment
Suggestion	Down	PredictAndConvert
Prediction	Down	ConvertNext
Composition	Enter	Commit
Conversion	Enter	Commit
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
Composition	Left	MoveCursorLeft
Conversion	Left	SegmentWidthShrink
Conversion	Right	SegmentWidthExpand
Composition	Right	MoveCursorRight
Conversion	Shift Left	SegmentFocusLeft
Conversion	Shift Right	SegmentFocusRight
Conversion	Shift Tab	ConvertPrev
Composition	Space	Convert
Precomposition	Space	InsertSpace
Conversion	Space	ConvertNext
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
Prediction	Up	ConvertPrev
DirectInput	Shift Space	IMEOn
Precomposition	Shift Space	CancelAndIMEOff
Composition	Shift Space	CancelAndIMEOff
Conversion	Shift Space	CancelAndIMEOff
Suggestion	Shift Space	CancelAndIMEOff
Prediction	Shift Space	CancelAndIMEOff
Composition	Kanji	CancelAndIMEOff
Composition	OFF	CancelAndIMEOff
Composition	ON	IMEOn
Conversion	Kanji	CancelAndIMEOff
Conversion	OFF	CancelAndIMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	Kanji	CancelAndIMEOff
Precomposition	OFF	CancelAndIMEOff
Precomposition	ON	IMEOn
